Player,Betting Odds,winning_probability,normalized_winning_probability
Carlos Alcaraz,350.0,22.22222222222222,0.14620413596475437
Novak Djokovic,-175.0,63.63636363636363,0.4186754802627057
Daniil Medvedev,2000.0,4.761904761904762,0.03132945770673308
Jannik Sinner,1800.0,5.263157894736842,0.0346272953600734
Holger Rune,4000.0,2.4390243902439024,0.016046795410765723
Christopher Eubanks,30000.0,0.33222591362126247,0.002185776119074401
Andrey Rublev,6600.0,1.4925373134328357,0.009819680773752159
Roman Safiullin,40000.0,0.24937655860349126,0.0016406947926219317
Stefanos Tsitsipas,5000.0,1.9607843137254901,0.012900364938066561
Matteo Berrettini,8000.0,1.2345679012345678,0.008122451998041909
Alexander Bublik,5000.0,1.9607843137254901,0.012900364938066561
Grigor Dimitrov,8000.0,1.2345679012345678,0.008122451998041909
Denis Shapovalov,20000.0,0.4975124378109453,0.003273226924584053
Hubert Hurkacz,6600.0,1.4925373134328357,0.009819680773752159
Frances Tiafoe,5000.0,1.9607843137254901,0.012900364938066561
Jiri Lehecka,40000.0,0.24937655860349126,0.0016406947926219317
Daniel Elahi Galan,50000.0,0.19960079840319359,0.0013132108020786318
Sebastian Korda,3300.0,2.941176470588235,0.019350547407099843
Alexander Zverev,4000.0,2.4390243902439024,0.016046795410765723
Andy Murray,4000.0,2.4390243902439024,0.016046795410765723
Taylor Fritz,5000.0,1.9607843137254901,0.012900364938066561
Alex de Minaur,6600.0,1.4925373134328357,0.009819680773752159
Felix Auger-Aliassime,8000.0,1.2345679012345678,0.008122451998041909
Casper Ruud,8000.0,1.2345679012345678,0.008122451998041909
Cameron Norrie,8000.0,1.2345679012345678,0.008122451998041909
Roberto Bautista-Agut,15000.0,0.6622516556291391,0.0043570768996118855
Lorenzo Musetti,20000.0,0.4975124378109453,0.003273226924584053
Milos Raonic,20000.0,0.4975124378109453,0.003273226924584053
Tallon Griekspoor,20000.0,0.4975124378109453,0.003273226924584053
Tommy Paul,20000.0,0.4975124378109453,0.003273226924584053
Daniel Evans,25000.0,0.398406374501992,0.002621189688611134
Ben Shelton,25000.0,0.398406374501992,0.002621189688611134
Borna Coric,25000.0,0.398406374501992,0.002621189688611134
Dominic Thiem,25000.0,0.398406374501992,0.002621189688611134
Francisco Cerundolo,25000.0,0.398406374501992,0.002621189688611134
Nicolas Jarry,25000.0,0.398406374501992,0.002621189688611134
John Isner,30000.0,0.33222591362126247,0.002185776119074401
Aslan Karatsev,30000.0,0.33222591362126247,0.002185776119074401
Adrian Mannarino,30000.0,0.33222591362126247,0.002185776119074401
Alejandro Davidovich Fokina,30000.0,0.33222591362126247,0.002185776119074401
Arthur Fils,30000.0,0.33222591362126247,0.002185776119074401
Gregoire Barrere,30000.0,0.33222591362126247,0.002185776119074401
Jordan Thompson,30000.0,0.33222591362126247,0.002185776119074401
Mackenzie McDonald,30000.0,0.33222591362126247,0.002185776119074401
Marton Fucsovics,30000.0,0.33222591362126247,0.002185776119074401
Maxime Cressy,30000.0,0.33222591362126247,0.002185776119074401
Miomir Kecmanovic,30000.0,0.33222591362126247,0.002185776119074401
Dominic Stephan Stricker,35000.0,0.2849002849002849,0.001874411999548133
Ugo Humbert,35000.0,0.2849002849002849,0.001874411999548133
Aleksandar Vukic,40000.0,0.24937655860349126,0.0016406947926219317
Alexander Shevchenko,40000.0,0.24937655860349126,0.0016406947926219317
Alexei Popyrin,40000.0,0.24937655860349126,0.0016406947926219317
Benjamin Bonzi,40000.0,0.24937655860349126,0.0016406947926219317
Borna Gojo,40000.0,0.24937655860349126,0.0016406947926219317
Botic Van de Zandschulp,40000.0,0.24937655860349126,0.0016406947926219317
Brandon Nakashima,40000.0,0.24937655860349126,0.0016406947926219317
Christopher O'Connell,40000.0,0.24937655860349126,0.0016406947926219317
David Goffin,40000.0,0.24937655860349126,0.0016406947926219317
Emil Ruusuvuori,40000.0,0.24937655860349126,0.0016406947926219317
Hamad Medjedovic,40000.0,0.24937655860349126,0.0016406947926219317
Jason Kubler,40000.0,0.24937655860349126,0.0016406947926219317
JJ Wolf,40000.0,0.24937655860349126,0.0016406947926219317
Lloyd Harris,40000.0,0.24937655860349126,0.0016406947926219317
Lorenzo Sonego,40000.0,0.24937655860349126,0.0016406947926219317
Luca Van Assche,40000.0,0.24937655860349126,0.0016406947926219317
Marc-Andrea Huesler,40000.0,0.24937655860349126,0.0016406947926219317
Marcos Giron,40000.0,0.24937655860349126,0.0016406947926219317
Matteo Arnaldi,40000.0,0.24937655860349126,0.0016406947926219317
Oscar Otte,40000.0,0.24937655860349126,0.0016406947926219317
Quentin Halys,40000.0,0.24937655860349126,0.0016406947926219317
Richard Gasquet,40000.0,0.24937655860349126,0.0016406947926219317
Stanislas Wawrinka,40000.0,0.24937655860349126,0.0016406947926219317
Yoshihito Nishioka,40000.0,0.24937655860349126,0.0016406947926219317
Diego Schwartzman,50000.0,0.19960079840319359,0.0013132108020786318
Albert Ramos-Vinolas,50000.0,0.19960079840319359,0.0013132108020786318
Alex Molcan,50000.0,0.19960079840319359,0.0013132108020786318
Alexandre Muller,50000.0,0.19960079840319359,0.0013132108020786318
Arthur Fery,50000.0,0.19960079840319359,0.0013132108020786318
Arthur Rinderknech,50000.0,0.19960079840319359,0.0013132108020786318
Bernabe Zapata Miralles,50000.0,0.19960079840319359,0.0013132108020786318
Constant Lestienne,50000.0,0.19960079840319359,0.0013132108020786318
Corentin Moutet,50000.0,0.19960079840319359,0.0013132108020786318
Daniel Altmaier,50000.0,0.19960079840319359,0.0013132108020786318
Dennis Novak,50000.0,0.19960079840319359,0.0013132108020786318
Dominik Koepfer,50000.0,0.19960079840319359,0.0013132108020786318
Dusan Lajovic,50000.0,0.19960079840319359,0.0013132108020786318
Enzo Couacaud,50000.0,0.19960079840319359,0.0013132108020786318
Federico Coria,50000.0,0.19960079840319359,0.0013132108020786318
George Loffhagen,50000.0,0.19960079840319359,0.0013132108020786318
Gijs Brouwer,50000.0,0.19960079840319359,0.0013132108020786318
Guido Pella,50000.0,0.19960079840319359,0.0013132108020786318
Harold Mayot,50000.0,0.19960079840319359,0.0013132108020786318
Hugo Dellien,50000.0,0.19960079840319359,0.0013132108020786318
Ilya Ivashka,50000.0,0.19960079840319359,0.0013132108020786318
Jan Choinski,50000.0,0.19960079840319359,0.0013132108020786318
Jaume Munar,50000.0,0.19960079840319359,0.0013132108020786318
Jeremy Chardy,50000.0,0.19960079840319359,0.0013132108020786318
Jiri Vesely,50000.0,0.19960079840319359,0.0013132108020786318
Juan Manuel Cerundolo,50000.0,0.19960079840319359,0.0013132108020786318
Juan Pablo Varillas,50000.0,0.19960079840319359,0.0013132108020786318
Kimmer Coppejans,50000.0,0.19960079840319359,0.0013132108020786318
Laslo Djere,50000.0,0.19960079840319359,0.0013132108020786318
Laurent Lokoli,50000.0,0.19960079840319359,0.0013132108020786318
Liam Broady,50000.0,0.19960079840319359,0.0013132108020786318
Marco Cecchinato,50000.0,0.19960079840319359,0.0013132108020786318
Max Purcell,50000.0,0.19960079840319359,0.0013132108020786318
Maximilian Marterer,50000.0,0.19960079840319359,0.0013132108020786318
Mikael Ymer,50000.0,0.19960079840319359,0.0013132108020786318
Nuno Borges,50000.0,0.19960079840319359,0.0013132108020786318
Pedro Cachin,50000.0,0.19960079840319359,0.0013132108020786318
Radu Albot,50000.0,0.19960079840319359,0.0013132108020786318
Roberto Carballes Baena,50000.0,0.19960079840319359,0.0013132108020786318
Ryan Peniston,50000.0,0.19960079840319359,0.0013132108020786318
Sebastian Baez,50000.0,0.19960079840319359,0.0013132108020786318
Sebastian Ofner,50000.0,0.19960079840319359,0.0013132108020786318
Shintaro Mochizuki,50000.0,0.19960079840319359,0.0013132108020786318
Sho Shimabukuro,50000.0,0.19960079840319359,0.0013132108020786318
Taro Daniel,50000.0,0.19960079840319359,0.0013132108020786318
Thiago Monteiro,50000.0,0.19960079840319359,0.0013132108020786318
Tomas Barrios Vera,50000.0,0.19960079840319359,0.0013132108020786318
Tomas Machac,50000.0,0.19960079840319359,0.0013132108020786318
Tomas Martin Etcheverry,50000.0,0.19960079840319359,0.0013132108020786318
Yannick Hanfmann,50000.0,0.19960079840319359,0.0013132108020786318
Yibing Wu,50000.0,0.19960079840319359,0.0013132108020786318
Yosuke Watanuki,50000.0,0.19960079840319359,0.0013132108020786318
Zhizhen Zhang,50000.0,0.19960079840319359,0.0013132108020786318
Rafael Nadal,,,
Nick Kyrgios,,,
